batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,,0,122,LTE10-2,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,0,127,LTE10-7,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,127,131,GT10-7LTE10-11,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,131,138,GT10-11LTE11-6,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,138,140,GT11-6LTE11-8,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,140,145,GT11-8LTE12-1,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,145,148,GT12-1LTE12-4,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,148,149,GT12-4LTE12-5,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,149,151,GT12-5LTE12-7,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,151,152,GT12-7LTE12-8,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,152,156,GT12-8LTE13-0,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,156,157,GT13-0LTE13-1,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,157,161,GT13-1LTE13-5,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,161,162,GT13-5LTE13-6,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,162,164,GT13-6LTE13-8,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,164,166,GT13-8LTE13-10,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,166,168,GT13-10LTE14-0,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,168,169,GT14-0LTE14-1,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,169,173,GT14-1LTE14-5,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,173,174,GT14-5LTE14-6,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,174,176,GT14-6LTE14-8,8,None | T2.5x18Top | T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,176,181,GT14-8LTE15-1,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,181,182,GT15-1LTE15-2,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range1,,182,184,GT15-2LTE15-4,0,
range2,,184,185,GT15-4LTE15-5,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,185,186,GT15-5LTE15-6,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,186,187,GT15-6LTE15-7,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,187,188,GT15-7LTE15-8,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,188,190,GT15-8LTE15-10,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,190,191,GT15-10LTE15-11,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,191,193,GT15-11LTE16-1,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,193,194,GT16-1LTE16-2,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,194,197,GT16-2LTE16-5,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,197,198,GT16-5LTE16-6,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,198,200,GT16-6LTE16-8,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,200,202,GT16-8LTE16-10,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,202,204,GT16-10LTE17-0,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,204,205,GT17-0LTE17-1,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,205,209,GT17-1LTE17-5,6,T2.5x18TopBtmLTE5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16EverySection
range2,,209,210,GT17-5LTE17-6,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range2,,210,211,GT17-6LTE17-7,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range2,,211,212,GT17-7LTE17-8,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range2,,212,213,GT17-8LTE17-9,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range2,,213,214,GT17-9LTE17-10,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range2,,214,216,GT17-10LTE18-0,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
range2,,216,217,GT18-0LTE18-1,9,T2.5x18TopBtmLTE5SEC | T2.5x18TopBtmEvery2ndGT5SEC | T2.5x18EverySection | T3.625x18TopBtmLTE5SEC | T3.625x18TopBtmEvery2ndGT5SEC | T3.625x18EverySection | T4.0x16TopBtmLTE5SEC | T4.0x16TopBtmEvery2ndGT5EC | T4.0x16EverySection
