batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,175U,0,150,175U-LTE12-6,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,175U,150,162,175U-GT12-6-LTE13-6,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,175U,162,170,175U-GT13-6-LTE14-2,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,175U,170,186,175U-GT14-2-LTE15-6,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,175U,186,198,175U-GT15-6-LTE16-6,5,1_16GaSTDTrussEvery2ndSection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,175U,198,230,175U-GT16-6-LTE19-2,5,1_16GaSTDTrussEverySection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,175U,230,266,175U-GT19-2-LTE22-2,1,1_16GaSTDTrussEverySection
range1,175U,266,282,175U-GT22-2-LTE23-6,1,2_16GaSTDTrussesEverySection
range1,175U,282,302,175U-GT23-6-LTE25-2,1,2_16GaSTDTrussesEverySection
range1,175U,302,318,175U-GT25-2-LTE26-6,2,1_HatTrussPerSection | U_UBAR
range1,175U,318,362,175U-GT26-6-LTE30-2,2,1_HatTrussPerSection | U_UBAR
range1,175U,362,410,175U-GT30-2-LTE34-2,2,1_HatTruss18GaU-barperSection | U_UBAR
range1,175U,410,422,175U-GT34-2-LTE35-2,2,1_HatTruss18GaU-barperSection | U_UBAR
range1,175U,422,458,175U-GT35-2-LTE38-2,0,
