batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,200U,0,146,200U-LTE12-2,1,1_16GaSTDTrussEvery2ndSection
range1,200U,146,162,200U-GT12-2-LTE13-6,1,1_16GaSTDTrussEvery2ndSection
range1,200U,162,170,200U-GT13-6-LTE14-2,1,1_16GaSTDTrussEverySection
range1,200U,170,194,200U-GT14-2-LTE16-2,1,2_16GaSTDTrussesEverySection
range1,200U,194,200,200U-GT16-2-LTE16-8,1,2_16GaSTDTrussesEverySection
range1,200U,200,218,200U-GT16-8-LTE18-2,1,1_HatTrussPerSection
range1,200U,218,242,200U-GT18-2-LTE20-2,1,1_HatTrussPerSection
range1,200U,246,278,200U-GT20-6-LTE23-2,1,1_HatTrussPerSection
range1,200U,278,290,200U-GT23-2-LTE24-2,1,1_HatTruss18GaU-barperSection
range1,200U,290,302,200U-GT24-2-LTE25-2,0,
range2,200U,302,338,200U-GT25-2-LTE28-2,1,EXCEEDS_CAPACITY
range2,200U,338,398,200U-GT28-2-LTE33-2,1,EXCEEDS_CAPACITY
range2,200U,398,446,200U-GT33-2-LTE37-2,0,
