batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,200U,0,146,200U-LTE12-2,3,None | U_UBAR | U_UBAR_20ga_Top
range1,200U,146,162,200U-GT12-2-LTE13-6,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,200U,162,170,200U-GT13-6-LTE14-2,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,200U,170,194,200U-GT14-2-LTE16-2,5,None | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,200U,194,200,200U-GT16-2-LTE16-8,5,1_16GaSTDTrussEvery2ndSection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,200U,200,218,200U-GT16-8-LTE18-2,5,1_16GaSTDTrussEvery2ndSection | U_UBAR | U_UBAR_20ga_Top | U_UBAR_20ga_ES | U_UBAR_18ga_ES
range1,200U,218,242,200U-GT18-2-LTE20-2,1,1_16GaSTDTrussEverySection
range1,200U,246,278,200U-GT20-6-LTE23-2,2,2_16GaSTDTrussesEverySection | U_UBAR
range1,200U,278,290,200U-GT23-2-LTE24-2,2,2_16GaSTDTrussesEverySection | U_UBAR
range1,200U,290,302,200U-GT24-2-LTE25-2,0,
range2,200U,242,246,200U-GT20-2-LTE20-6,2,1_HatTrussPerSection | U_UBAR
range2,200U,302,338,200U-GT25-2-LTE28-2,2,1_HatTrussPerSection | U_UBAR
range2,200U,338,398,200U-GT28-2-LTE33-2,2,1_HatTruss18GaU-barperSection | U_UBAR
range2,200U,398,446,200U-GT33-2-LTE37-2,0,
