batch,model,widthLoIn,widthHiIn,rawHeader,styleCount,styles
range1,U200C,0,137,U200C-LTE11-5,1,1_16GaSTDTrussEvery2ndSection
range1,U200C,137,146,U200C-GT11-5-LTE12-2,1,1_16GaSTDTrussEvery2ndSection
range1,U200C,146,159,U200C-GT12-2-LTE13-3,1,1_16GaSTDTrussEvery2ndSection
range1,U200C,159,162,U200C-GT13-3-LTE13-6,1,1_16GaSTDTrussEverySection
range1,U200C,162,187,U200C-GT13-6-LTE15-7,1,1_16GaSTDTrussEverySection
range1,U200C,187,192,U200C-GT15-7-LTE16-0,0,
range1,200U,242,246,200U-GT20-2-LTE20-6,0,
range1,200U,302,338,200U-GT25-2-LTE28-2,0,
range1,200U,338,398,200U-GT28-2-LTE33-2,0,
range1,200U,398,446,200U-GT33-2-LTE37-2,0,
